"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1821","User login with wrong email or password","LMS system","Mon May 18 13:07:36 UTC 2026","passed","Mon May 18 13:07:38 UTC 2026","Authorization","Authentication","",""
"","1637","Navigation from login page to registration page","LMS system","Mon May 18 13:07:40 UTC 2026","passed","Mon May 18 13:07:42 UTC 2026","Authorization","Authentication","",""
"","1441","Check displaying of empty courses list","LMS system","Mon May 18 13:07:43 UTC 2026","passed","Mon May 18 13:07:44 UTC 2026","Courses","Courses","",""
"","1902","User login with wrong email or password","LMS system","Mon May 18 13:07:33 UTC 2026","passed","Mon May 18 13:07:35 UTC 2026","Authorization","Authentication","",""
"","4647","Edit course","LMS system","Mon May 18 13:07:45 UTC 2026","passed","Mon May 18 13:07:49 UTC 2026","Courses","Courses","",""
"","2307","Registration with correct email, username and password","LMS system","Mon May 18 13:07:38 UTC 2026","passed","Mon May 18 13:07:41 UTC 2026","Registration","Authentication","",""
"","3697","Create course","LMS system","Mon May 18 13:07:44 UTC 2026","passed","Mon May 18 13:07:47 UTC 2026","Courses","Courses","",""
"","2090","Check displaying of dashboard page","LMS system","Mon May 18 13:07:48 UTC 2026","passed","Mon May 18 13:07:50 UTC 2026","Dashboard","Dashboard","",""
"","2019","User login with wrong email or password","LMS system","Mon May 18 13:07:33 UTC 2026","passed","Mon May 18 13:07:36 UTC 2026","Authorization","Authentication","",""
"","3719","User login with correct email and password","LMS system","Mon May 18 13:07:36 UTC 2026","passed","Mon May 18 13:07:40 UTC 2026","Authorization","Authentication","",""
