"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1868","User login with wrong email or password","LMS system","Mon May 18 13:07:40 UTC 2026","passed","Mon May 18 13:07:42 UTC 2026","Authorization","Authentication","",""
"","2222","Registration with correct email, username and password","LMS system","Mon May 18 13:07:45 UTC 2026","passed","Mon May 18 13:07:47 UTC 2026","Registration","Authentication","",""
"","5004","Edit course","LMS system","Mon May 18 13:07:49 UTC 2026","passed","Mon May 18 13:07:54 UTC 2026","Courses","Courses","",""
"","1894","Check displaying of dashboard page","LMS system","Mon May 18 13:07:55 UTC 2026","passed","Mon May 18 13:07:56 UTC 2026","Dashboard","Dashboard","",""
"","4169","Create course","LMS system","Mon May 18 13:07:49 UTC 2026","passed","Mon May 18 13:07:54 UTC 2026","Courses","Courses","",""
"","4152","User login with correct email and password","LMS system","Mon May 18 13:07:40 UTC 2026","passed","Mon May 18 13:07:44 UTC 2026","Authorization","Authentication","",""
"","1891","User login with wrong email or password","LMS system","Mon May 18 13:07:38 UTC 2026","passed","Mon May 18 13:07:40 UTC 2026","Authorization","Authentication","",""
"","1770","Check displaying of empty courses list","LMS system","Mon May 18 13:07:47 UTC 2026","passed","Mon May 18 13:07:49 UTC 2026","Courses","Courses","",""
"","1928","User login with wrong email or password","LMS system","Mon May 18 13:07:38 UTC 2026","passed","Mon May 18 13:07:40 UTC 2026","Authorization","Authentication","",""
"","1943","Navigation from login page to registration page","LMS system","Mon May 18 13:07:43 UTC 2026","passed","Mon May 18 13:07:44 UTC 2026","Authorization","Authentication","",""
