"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2106","User login with wrong email or password","LMS system","Mon May 18 12:15:29 UTC 2026","passed","Mon May 18 12:15:31 UTC 2026","Authorization","Authentication","",""
"","1782","Navigation from login page to registration page","LMS system","Mon May 18 12:15:34 UTC 2026","passed","Mon May 18 12:15:35 UTC 2026","Authorization","Authentication","",""
"","3713","Create course","LMS system","Mon May 18 12:15:40 UTC 2026","passed","Mon May 18 12:15:43 UTC 2026","Courses","Courses","",""
"","3789","User login with correct email and password","LMS system","Mon May 18 12:15:31 UTC 2026","passed","Mon May 18 12:15:35 UTC 2026","Authorization","Authentication","",""
"","1902","Registration with correct email, username and password","LMS system","Mon May 18 12:15:36 UTC 2026","passed","Mon May 18 12:15:38 UTC 2026","Registration","Authentication","",""
"","1737","Check displaying of dashboard page","LMS system","Mon May 18 12:15:44 UTC 2026","passed","Mon May 18 12:15:46 UTC 2026","Dashboard","Dashboard","",""
"","4392","Edit course","LMS system","Mon May 18 12:15:40 UTC 2026","passed","Mon May 18 12:15:44 UTC 2026","Courses","Courses","",""
"","1579","Check displaying of empty courses list","LMS system","Mon May 18 12:15:38 UTC 2026","passed","Mon May 18 12:15:39 UTC 2026","Courses","Courses","",""
"","2062","User login with wrong email or password","LMS system","Mon May 18 12:15:29 UTC 2026","passed","Mon May 18 12:15:31 UTC 2026","Authorization","Authentication","",""
"","1797","User login with wrong email or password","LMS system","Mon May 18 12:15:31 UTC 2026","passed","Mon May 18 12:15:33 UTC 2026","Authorization","Authentication","",""
